engtype_2,district,state,statecode
District,aligarh,uttar_pradesh,UP
District,kaushambi,uttar_pradesh,UP
District,baghpat,uttar_pradesh,UP
District,kannauj,uttar_pradesh,UP
District,dhalai,tripura,TR
District,papum_pare,arunachal_pradesh,AR
District,bankura,west_bengal,WB
District,allahabad,uttar_pradesh,UP
District,agra,uttar_pradesh,UP
District,auraiya,uttar_pradesh,UP
District,etawah,uttar_pradesh,UP
District,ambedkar_nagar,uttar_pradesh,UP
District,bulandshahr,uttar_pradesh,UP
District,azamgarh,uttar_pradesh,UP
District,budaun,uttar_pradesh,UP
District,bahraich,uttar_pradesh,UP
District,ballia,uttar_pradesh,UP
District,balrampur,uttar_pradesh,UP
District,basti,uttar_pradesh,UP
District,banda,uttar_pradesh,UP
District,bijnor,uttar_pradesh,UP
District,barabanki,uttar_pradesh,UP
District,bareilly,uttar_pradesh,UP
District,bongaigaon,assam,AS
District,chitrakoot,uttar_pradesh,UP
District,barpeta,assam,AS
District,deoria,uttar_pradesh,UP
District,ramgarh,jharkhand,JH
District,etah,uttar_pradesh,UP
District,fatehpur,uttar_pradesh,UP
District,lalitpur,uttar_pradesh,UP
District,dhemaji,assam,AS
District,kanpur_dehat,uttar_pradesh,UP
District,firozabad,uttar_pradesh,UP
District,ghazipur,uttar_pradesh,UP
District,gonda,uttar_pradesh,UP
District,gorakhpur,uttar_pradesh,UP
District,jalaun,uttar_pradesh,UP
District,hardoi,uttar_pradesh,UP
District,hathras,uttar_pradesh,UP
District,dakshin_dinajpur,west_bengal,WB
District,jaunpur,uttar_pradesh,UP
District,mirpur,jammu_and_kashmir,JK
District,kanpur_nagar,uttar_pradesh,UP
District,champawat,uttarakhand,UT
District,jhansi,uttar_pradesh,UP
District,peddapalli,telangana,TG
District,rajanna_sircilla,telangana,TG
District,sangareddy,telangana,TG
District,siddipet,telangana,TG
District,vikarabad,telangana,TG
District,wanaparthy,telangana,TG
District,warangal_rural,telangana,TG
District,kushinagar,uttar_pradesh,UP
District,lucknow,uttar_pradesh,UP
District,warangal_urban,telangana,TG
District,yadadri_bhuvanagiri,telangana,TG
District,narayanpet,telangana,TG
District,jogulamba_gadwal,telangana,TG
District,rangareddy,telangana,TG
District,suryapet,telangana,TG
District,medchal_malkajgiri,telangana,TG
District,adilabad,telangana,TG
District,hyderabad,telangana,TG
District,kumurambheem_asifabad,telangana,TG
District,lakhimpur_kheri,uttar_pradesh,UP
District,sant_ravi_das_nagar,uttar_pradesh,UP
District,jayashankar_bhupalpally,telangana,TG
District,mahabubnagar,telangana,TG
District,maharajganj,uttar_pradesh,UP
District,north_24_parganas,west_bengal,WB
District,mahoba,uttar_pradesh,UP
District,mainpuri,uttar_pradesh,UP
District,rajouri,jammu_and_kashmir,JK
District,mathura,uttar_pradesh,UP
District,meerut,uttar_pradesh,UP
District,darjiling,west_bengal,WB
District,mirzapur,uttar_pradesh,UP
District,moradabad,uttar_pradesh,UP
District,muzaffarnagar,uttar_pradesh,UP
District,kulgam,jammu_and_kashmir,JK
District,pilibhit,uttar_pradesh,UP
