type,state,statecode,covid19Name,apiName,district
District,bihar,BR,Kaimur,kaimur,kaimur
District,haryana,HR,Kaithal,kaithal,kaithal
District,manipur,MN,Kakching,thoubal,thoubal
District,karnataka,KA,Kalaburagi,gulbarga,gulbarga
District,odisha,OR,Kalahandi,kalahandi,kalahandi
District,west_bengal,WB,Kalimpong,darjiling,darjiling
District,tamil_nadu,TN,Kallakurichi,viluppuram,viluppuram
District,telangana,TG,Kamareddy,kamareddy,kamareddy
District,manipur,MN,Kamjong,ukhrul,ukhrul
District,arunachal_pradesh,AR,Kamle,lower_subansiri,lower_subansiri
District,assam,AS,Kamrup,kamrup,kamrup
District,assam,AS,Kamrup Metropolitan,kamrup_metropolitan,kamrup_metropolitan
District,tamil_nadu,TN,Kancheepuram,kancheepuram,kancheepuram
District,odisha,OR,Kandhamal,kandhamal,kandhamal
District,manipur,MN,Kangpokpi,senapati,senapati
District,himachal_pradesh,HP,Kangra,kangra,kangra
District,uttar_pradesh,UP,Kannauj,kannauj,kannauj
District,kerala,KL,Kannur,kannur,kannur
District,uttar_pradesh,UP,Kanpur Dehat,kanpur_dehat,kanpur_dehat
District,uttar_pradesh,UP,Kanpur Nagar,kanpur_nagar,kanpur_nagar
District,tamil_nadu,TN,Kanyakumari,kanniyakumari,kanniyakumari
District,punjab,PB,Kapurthala,kapurthala,kapurthala
District,puducherry,PY,Karaikal,karaikal,karaikal
District,rajasthan,RJ,Karauli,karauli,karauli
District,assam,AS,Karbi Anglong,karbi_anglong,karbi_anglong
District,ladakh,LA,Kargil,kargil,kargil
District,assam,AS,Karimganj,karimganj,karimganj
District,telangana,TG,Karimnagar,karimnagar,karimnagar
District,haryana,HR,Karnal,karnal,karnal
District,tamil_nadu,TN,Karur,karur,karur
District,kerala,KL,Kasaragod,kasaragod,kasaragod
District,uttar_pradesh,UP,Kasganj,kasganj,kasganj
District,jammu_and_kashmir,JK,Kathua,kathua,kathua
District,bihar,BR,Katihar,katihar,katihar
District,madhya_pradesh,MP,Katni,katni,katni
District,uttar_pradesh,UP,Kaushambi,kaushambi,kaushambi
District,odisha,OR,Kendrapara,kendrapara,kendrapara
District,odisha,OR,Kendujhar,kendujhar,kendujhar
District,bihar,BR,Khagaria,khagaria,khagaria
District,telangana,TG,Khammam,khammam,khammam
District,madhya_pradesh,MP,Khandwa,east_nimar,east_nimar
District,madhya_pradesh,MP,Khargone,west_nimar,west_nimar
District,mizoram,MZ,Khawzawl,champhai,champhai
District,gujarat,GJ,Kheda,kheda,kheda
District,odisha,OR,Khordha,khordha,khordha
District,tripura,TR,Khowai,khowai,khowai
District,jharkhand,JH,Khunti,khunti,khunti
District,himachal_pradesh,HP,Kinnaur,kinnaur,kinnaur
District,nagaland,NL,Kiphire,kiphire,kiphire
District,bihar,BR,Kishanganj,kishanganj,kishanganj
District,jammu_and_kashmir,JK,Kishtwar,kishtwar,kishtwar
District,karnataka,KA,Kodagu,kodagu,kodagu
District,jharkhand,JH,Koderma,kodarma,kodarma
District,nagaland,NL,Kohima,kohima,kohima
District,assam,AS,Kokrajhar,kokrajhar,kokrajhar
District,karnataka,KA,Kolar,kolar,kolar
District,mizoram,MZ,Kolasib,kolasib,kolasib
District,maharashtra,MH,Kolhapur,kolhapur,kolhapur
District,west_bengal,WB,Kolkata,kolkata,kolkata
District,kerala,KL,Kollam,kollam,kollam
District,telangana,TG,Komaram Bheem,kumurambheem_asifabad,kumurambheem_asifabad
District,chhattisgarh,CT,Kondagaon,kondagaon,kondagaon
District,karnataka,KA,Koppal,koppal,koppal
District,odisha,OR,Koraput,koraput,koraput
District,chhattisgarh,CT,Korba,korba,korba
District,chhattisgarh,CT,Koriya,koriya,koriya
District,rajasthan,RJ,Kota,kota,kota
District,kerala,KL,Kottayam,kottayam,kottayam
District,kerala,KL,Kozhikode,kozhikode,kozhikode
District,arunachal_pradesh,AR,Kra Daadi,kurung_kumey,kurung_kumey
District,andhra_pradesh,AD,Krishna,krishna,krishna
District,tamil_nadu,TN,Krishnagiri,krishnagiri,krishnagiri
District,jammu_and_kashmir,JK,Kulgam,kulgam,kulgam
District,himachal_pradesh,HP,Kullu,kullu,kullu
District,jammu_and_kashmir,JK,Kupwara,kupwara,kupwara
District,andhra_pradesh,AD,Kurnool,kurnool,kurnool
District,haryana,HR,Kurukshetra,kurukshetra,kurukshetra
District,arunachal_pradesh,AR,Kurung Kumey,kurung_kumey,kurung_kumey
District,uttar_pradesh,UP,Kushinagar,kushinagar,kushinagar
District,gujarat,GJ,Kutch,kachchh,kachchh
District,himachal_pradesh,HP,Lahaul and Spiti,lahul_and_spiti,lahul_and_spiti
District,assam,AS,Lakhimpur,lakhimpur,lakhimpur
District,uttar_pradesh,UP,Lakhimpur Kheri,lakhimpur_kheri,lakhimpur_kheri
District,bihar,BR,Lakhisarai,lakhisarai,lakhisarai
District,lakshadweep,LD,Lakshadweep,lakshadweep,lakshadweep
District,uttar_pradesh,UP,Lalitpur,lalitpur,lalitpur
District,jharkhand,JH,Latehar,latehar,latehar
District,maharashtra,MH,Latur,latur,latur
District,mizoram,MZ,Lawngtlai,lawangtlai,lawangtlai
District,ladakh,LA,Leh,leh,leh
District,arunachal_pradesh,AR,Lepa Rada,west_siang,west_siang
District,jharkhand,JH,Lohardaga,lohardaga,lohardaga
District,arunachal_pradesh,AR,Lohit,lohit,lohit
District,arunachal_pradesh,AR,Longding,longding,longding
District,nagaland,NL,Longleng,longleng,longleng
District,arunachal_pradesh,AR,Lower Dibang Valley,lower_dibang_valley,lower_dibang_valley
District,arunachal_pradesh,AR,Lower Siang,west_siang,west_siang
District,arunachal_pradesh,AR,Lower Subansiri,lower_subansiri,lower_subansiri
District,uttar_pradesh,UP,Lucknow,lucknow,lucknow
District,punjab,PB,Ludhiana,ludhiana,ludhiana
District,mizoram,MZ,Lunglei,lunglei,lunglei
District,bihar,BR,Madhepura,madhepura,madhepura
District,bihar,BR,Madhubani,madhubani,madhubani
District,tamil_nadu,TN,Madurai,madurai,madurai
District,telangana,TG,Mahabubabad,mahabubabad,mahabubabad
District,uttar_pradesh,UP,Maharajganj,maharajganj,maharajganj
District,chhattisgarh,CT,Mahasamund,mahasamund,mahasamund
District,puducherry,PY,Mahe,mahe,mahe
District,haryana,HR,Mahendragarh,mahendragarh,mahendragarh
District,gujarat,GJ,Mahisagar,mahisagar,mahisagar
District,uttar_pradesh,UP,Mahoba,mahoba,mahoba
District,uttar_pradesh,UP,Mainpuri,mainpuri,mainpuri
District,assam,AS,Majuli,jorhat,jorhat
District,kerala,KL,Malappuram,malappuram,malappuram
District,west_bengal,WB,Malda,maldah,maldah
District,odisha,OR,Malkangiri,malkangiri,malkangiri
District,mizoram,MZ,Mamit,mamit,mamit
District,telangana,TG,Mancherial,mancherial,mancherial
District,himachal_pradesh,HP,Mandi,mandi,mandi
District,madhya_pradesh,MP,Mandla,mandla,mandla
District,madhya_pradesh,MP,Mandsaur,mandsaur,mandsaur
District,karnataka,KA,Mandya,mandya,mandya
District,punjab,PB,Mansa,mansa,mansa
District,uttar_pradesh,UP,Mathura,mathura,mathura
District,uttar_pradesh,UP,Mau,mau,mau
District,odisha,OR,Mayurbhanj,mayurbhanj,mayurbhanj
District,telangana,TG,Medak,medak,medak
District,telangana,TG,Medchal Malkajgiri,medchal_malkajgiri,medchal_malkajgiri
District,uttar_pradesh,UP,Meerut,meerut,meerut
District,gujarat,GJ,Mehsana,mahesana,mahesana
District,jammu_and_kashmir,JK,Mirpur,mirpur,mirpur
District,uttar_pradesh,UP,Mirzapur,mirzapur,mirzapur
District,punjab,PB,Moga,moga,moga
District,nagaland,NL,Mokokchung,mokokchung,mokokchung
District,nagaland,NL,Mon,mon,mon
District,uttar_pradesh,UP,Moradabad,moradabad,moradabad
District,gujarat,GJ,Morbi,morbi,morbi
District,madhya_pradesh,MP,Morena,morena,morena
District,assam,AS,Morigaon,morigaon,morigaon
District,telangana,TG,Mulugu,mulugu,mulugu
District,maharashtra,MH,Mumbai,mumbai_city,mumbai_city
District,maharashtra,MH,Mumbai Suburban,mumbai_suburban,mumbai_suburban
District,chhattisgarh,CT,Mungeli,mungeli,mungeli
District,bihar,BR,Munger,munger,munger
District,west_bengal,WB,Murshidabad,murshidabad,murshidabad
District,jammu_and_kashmir,JK,Muzaffarabad,muzaffarabad,muzaffarabad
District,uttar_pradesh,UP,Muzaffarnagar,muzaffarnagar,muzaffarnagar
District,bihar,BR,Muzaffarpur,muzaffarpur,muzaffarpur
District,karnataka,KA,Mysuru,mysore,mysore
District,odisha,OR,Nabarangapur,nabarangapur,nabarangapur
District,west_bengal,WB,Nadia,nadia,nadia
District,assam,AS,Nagaon,nagaon,nagaon
District,tamil_nadu,TN,Nagapattinam,nagappattinam,nagappattinam
District,telangana,TG,Nagarkurnool,nagarkurnool,nagarkurnool
District,rajasthan,RJ,Nagaur,nagaur,nagaur
District,maharashtra,MH,Nagpur,nagpur,nagpur
District,uttarakhand,UT,Nainital,nainital,nainital
District,bihar,BR,Nalanda,nalanda,nalanda
District,assam,AS,Nalbari,nalbari,nalbari
District,telangana,TG,Nalgonda,nalgonda,nalgonda
District,tamil_nadu,TN,Namakkal,namakkal,namakkal
District,arunachal_pradesh,AR,Namsai,namsai,namsai
District,maharashtra,MH,Nanded,nanded,nanded
District,maharashtra,MH,Nandurbar,nandurbar,nandurbar
District,telangana,TG,Narayanpet,narayanpet,narayanpet
District,chhattisgarh,CT,Narayanpur,narayanpur,narayanpur
District,gujarat,GJ,Narmada,narmada,narmada
District,madhya_pradesh,MP,Narsinghpur,narsimhapur,narsimhapur
District,maharashtra,MH,Nashik,nashik,nashik
District,gujarat,GJ,Navsari,navsari,navsari
District,bihar,BR,Nawada,nawada,nawada
District,odisha,OR,Nayagarh,nayagarh,nayagarh
District,madhya_pradesh,MP,Neemuch,neemuch,neemuch
District,nct_of_delhi,DL,New Delhi,west,west
